name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Weigthed,Custom_loss,xyDisplacement,is_regression,augmentation,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
199,ratioNorm,1,1,0,0,1,64,0,1,16,0.2,1,0,0,0,N,,,,,,,
200,ratioNorm,1,1,0,0,1,64,0,1,16,0.2,1,1,0,0,N,,,,,,,
201,ratioNorm,1,1,0,0,1,64,0,1,32,0.1,0,0,0,0,N,,,,,,,
202,ratioNorm,1,1,0,0,1,64,0,1,32,0.1,0,1,0,0,N,,,,,,,
203,ratioNorm,1,1,0,0,1,64,0,1,32,0.1,1,0,0,0,N,,,,,,,
204,ratioNorm,1,1,0,0,1,64,0,1,32,0.1,1,1,0,0,N,,,,,,,
205,ratioNorm,1,1,0,0,1,64,0,1,32,0.2,0,0,0,0,N,,,,,,,
206,ratioNorm,1,1,0,0,1,64,0,1,32,0.2,0,1,0,0,N,,,,,,,
207,ratioNorm,1,1,0,0,1,64,0,1,32,0.2,1,0,0,0,N,,,,,,,
208,ratioNorm,1,1,0,0,1,64,0,1,32,0.2,1,1,0,0,N,,,,,,,
209,ratioNorm,1,1,0,0,1,64,0,1,64,0.1,0,0,0,0,N,,,,,,,
210,ratioNorm,1,1,0,0,1,64,0,1,64,0.1,0,1,0,0,N,,,,,,,
211,ratioNorm,1,1,0,0,1,64,0,1,64,0.1,1,0,0,0,N,,,,,,,
212,ratioNorm,1,1,0,0,1,64,0,1,64,0.1,1,1,0,0,N,,,,,,,
213,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,0,0,0,0,N,,,,,,,
214,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,0,1,0,0,N,,,,,,,
215,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,1,0,0,0,N,,,,,,,
216,ratioNorm,1,1,0,0,1,64,0,1,64,0.2,1,1,0,0,N,,,,,,,
217,ratioNorm,1,1,0,0,1,64,0,2,16,0.1,0,0,0,0,N,,,,,,,
218,ratioNorm,1,1,0,0,1,64,0,2,16,0.1,0,1,0,0,N,,,,,,,
219,ratioNorm,1,1,0,0,1,64,0,2,16,0.1,1,0,0,0,N,,,,,,,
220,ratioNorm,1,1,0,0,1,64,0,2,16,0.1,1,1,0,0,N,,,,,,,
221,ratioNorm,1,1,0,0,1,64,0,2,16,0.2,0,0,0,0,N,,,,,,,
222,ratioNorm,1,1,0,0,1,64,0,2,16,0.2,0,1,0,0,N,,,,,,,
223,ratioNorm,1,1,0,0,1,64,0,2,16,0.2,1,0,0,0,N,,,,,,,
224,ratioNorm,1,1,0,0,1,64,0,2,16,0.2,1,1,0,0,N,,,,,,,
225,ratioNorm,1,1,0,0,1,64,0,2,32,0.1,0,0,0,0,N,,,,,,,
226,ratioNorm,1,1,0,0,1,64,0,2,32,0.1,0,1,0,0,N,,,,,,,
227,ratioNorm,1,1,0,0,1,64,0,2,32,0.1,1,0,0,0,N,,,,,,,
228,ratioNorm,1,1,0,0,1,64,0,2,32,0.1,1,1,0,0,N,,,,,,,
229,ratioNorm,1,1,0,0,1,64,0,2,32,0.2,0,0,0,0,N,,,,,,,
230,ratioNorm,1,1,0,0,1,64,0,2,32,0.2,0,1,0,0,N,,,,,,,
231,ratioNorm,1,1,0,0,1,64,0,2,32,0.2,1,0,0,0,N,,,,,,,
232,ratioNorm,1,1,0,0,1,64,0,2,32,0.2,1,1,0,0,N,,,,,,,
233,ratioNorm,1,1,0,0,1,64,0,2,64,0.1,0,0,0,0,N,,,,,,,
234,ratioNorm,1,1,0,0,1,64,0,2,64,0.1,0,1,0,0,N,,,,,,,
235,ratioNorm,1,1,0,0,1,64,0,2,64,0.1,1,0,0,0,N,,,,,,,
236,ratioNorm,1,1,0,0,1,64,0,2,64,0.1,1,1,0,0,N,,,,,,,
237,ratioNorm,1,1,0,0,1,64,0,2,64,0.2,0,0,0,0,N,,,,,,,
238,ratioNorm,1,1,0,0,1,64,0,2,64,0.2,0,1,0,0,N,,,,,,,
239,ratioNorm,1,1,0,0,1,64,0,2,64,0.2,1,0,0,0,N,,,,,,,
240,ratioNorm,1,1,0,0,1,64,0,2,64,0.2,1,1,0,0,N,,,,,,,
241,ratioNorm,1,1,0,0,1,64,1,1,16,0.1,0,0,0,0,N,,,,,,,
242,ratioNorm,1,1,0,0,1,64,1,1,16,0.1,0,1,0,0,N,,,,,,,
243,ratioNorm,1,1,0,0,1,64,1,1,16,0.1,1,0,0,0,N,,,,,,,
244,ratioNorm,1,1,0,0,1,64,1,1,16,0.1,1,1,0,0,N,,,,,,,
245,ratioNorm,1,1,0,0,1,64,1,1,16,0.2,0,0,0,0,N,,,,,,,
246,ratioNorm,1,1,0,0,1,64,1,1,16,0.2,0,1,0,0,N,,,,,,,
247,ratioNorm,1,1,0,0,1,64,1,1,16,0.2,1,0,0,0,N,,,,,,,
248,ratioNorm,1,1,0,0,1,64,1,1,16,0.2,1,1,0,0,N,,,,,,,
249,ratioNorm,1,1,0,0,1,64,1,1,32,0.1,0,0,0,0,N,,,,,,,
250,ratioNorm,1,1,0,0,1,64,1,1,32,0.1,0,1,0,0,N,,,,,,,
251,ratioNorm,1,1,0,0,1,64,1,1,32,0.1,1,0,0,0,N,,,,,,,
252,ratioNorm,1,1,0,0,1,64,1,1,32,0.1,1,1,0,0,N,,,,,,,
253,ratioNorm,1,1,0,0,1,64,1,1,32,0.2,0,0,0,0,N,,,,,,,
254,ratioNorm,1,1,0,0,1,64,1,1,32,0.2,0,1,0,0,N,,,,,,,
255,ratioNorm,1,1,0,0,1,64,1,1,32,0.2,1,0,0,0,N,,,,,,,
256,ratioNorm,1,1,0,0,1,64,1,1,32,0.2,1,1,0,0,N,,,,,,,
257,ratioNorm,1,1,0,0,1,64,1,1,64,0.1,0,0,0,0,N,,,,,,,
258,ratioNorm,1,1,0,0,1,64,1,1,64,0.1,0,1,0,0,N,,,,,,,
259,ratioNorm,1,1,0,0,1,64,1,1,64,0.1,1,0,0,0,N,,,,,,,
260,ratioNorm,1,1,0,0,1,64,1,1,64,0.1,1,1,0,0,N,,,,,,,
261,ratioNorm,1,1,0,0,1,64,1,1,64,0.2,0,0,0,0,N,,,,,,,
262,ratioNorm,1,1,0,0,1,64,1,1,64,0.2,0,1,0,0,N,,,,,,,
263,ratioNorm,1,1,0,0,1,64,1,1,64,0.2,1,0,0,0,N,,,,,,,
264,ratioNorm,1,1,0,0,1,64,1,1,64,0.2,1,1,0,0,N,,,,,,,
265,ratioNorm,1,1,0,0,1,64,1,2,16,0.1,0,0,0,0,N,,,,,,,
