name,inputData,displacement,replaceNan,removeMean,FFT,#RNN,sizeRNN,bidirectional,#FC,numFC,Dropout,Custom_loss,xyDisplacement,Accuracy,N4_Acc,Q4_Acc,T4_Acc,Q4H7_Acc,Custom_Acc,Testing_Metric
77,ratio,1,1,0,0,2,64,0,1,64,0.2,0,0,0.5561,0.6913,0.5484,0.2985,0.5319,0.4594,3.2073
78,ratioNorm,1,1,0,0,2,64,0,1,64,0.2,0,0,0.5707,0.7395,0.5068,0.3464,0.5386,0.4723,3.3609
79,indiv,1,1,0,0,2,64,0,1,64,0.2,0,0,0.5526,0.6908,0.5093,0.2505,0.6516,0.4524,3.1179
80,ratioNorm,1,1,0,1,2,64,0,1,64,0.2,0,0,0.5662,0.743,0.4702,0.3627,0.5559,0.4716,3.2884
81,ratio,1,1,0,0,3,64,0,1,64,0.2,0,0,0.558,0.6817,0.528,0.3039,0.6077,0.4697,3.292
82,ratioNorm,1,1,0,0,3,64,0,1,64,0.2,0,0,0.5682,0.6873,0.5553,0.244,0.6795,0.4688,3.149
83,indiv,1,1,0,0,3,64,0,1,64,0.2,0,0,0.5427,0.6766,0.5224,0.3235,0.5027,0.4543,3.1049
84,ratioNorm,1,1,0,1,3,64,0,1,64,0.2,0,0,0.5732,0.7821,0.4932,0.2331,0.6117,0.4417,3.4561
85,ratio,1,1,0,0,1,16,1,1,64,0.2,0,0,0.55,0.7055,0.482,0.3617,0.5173,0.4633,3.2866
86,ratioNorm,1,1,0,0,1,16,1,1,64,0.2,0,0,0.5612,0.6934,0.5093,0.3595,0.5718,0.4803,3.2077
87,indiv,1,1,0,0,1,16,1,1,64,0.2,0,0,0.5347,0.6984,0.4758,0.2908,0.5293,0.4348,3.0457
88,ratioNorm,1,1,0,1,1,16,1,1,64,0.2,0,0,0.5549,0.6756,0.559,0.2658,0.5824,0.4581,3.2036
89,ratio,1,1,0,0,2,16,1,1,64,0.2,0,0,0.5618,0.6817,0.5497,0.3181,0.5705,0.4744,3.2015
90,ratioNorm,1,1,0,0,2,16,1,1,64,0.2,0,0,0.5665,0.7076,0.5242,0.3453,0.5572,0.4776,3.247
91,indiv,1,1,0,0,2,16,1,1,64,0.2,0,0,0.5188,0.666,0.4435,0.3235,0.5319,0.4354,3.03
92,ratioNorm,1,1,0,1,2,16,1,1,64,0.2,0,0,0.5662,0.7324,0.4988,0.3508,0.5372,0.4706,3.2952
93,ratio,1,1,0,0,3,16,1,1,64,0.2,0,0,0.554,0.6913,0.4957,0.3148,0.6104,0.4658,3.2721
94,ratioNorm,1,1,0,0,3,16,1,1,64,0.2,0,0,0.5629,0.7217,0.5012,0.2887,0.613,0.4606,3.1724
95,indiv,1,1,0,0,3,16,1,1,64,0.2,0,0,0.5405,0.7405,0.4224,0.2407,0.6343,0.4239,3.1645
96,ratioNorm,1,1,0,1,3,16,1,1,64,0.2,0,0,0.5757,0.7613,0.5143,0.2723,0.5904,0.4574,3.2664
97,ratio,1,1,0,0,1,32,1,1,64,0.2,0,0,0.5564,0.6685,0.546,0.3431,0.5452,0.4769,3.2038
98,ratioNorm,1,1,0,0,1,32,1,1,64,0.2,0,0,0.578,0.6979,0.5783,0.3083,0.5918,0.4849,3.1414
99,indiv,1,1,0,0,1,32,1,1,64,0.2,0,0,0.5376,0.6559,0.4969,0.3224,0.5771,0.4591,3.0874
100,ratioNorm,1,1,0,1,1,32,1,1,64,0.2,0,0,0.5631,0.7258,0.5006,0.3878,0.484,0.4747,3.2943
101,ratio,1,1,0,0,2,32,1,1,64,0.2,0,0,0.5467,0.7152,0.4963,0.2832,0.5346,0.4406,3.291
102,ratioNorm,1,1,0,0,2,32,1,1,64,0.2,0,0,0.5684,0.666,0.595,0.3083,0.5731,0.483,3.1589
103,indiv,1,1,0,0,2,32,1,1,64,0.2,0,0,0.5511,0.6776,0.5087,0.3355,0.5731,0.4692,3.1561
104,ratioNorm,1,1,0,1,2,32,1,1,64,0.2,0,0,0.5682,0.6964,0.5379,0.3333,0.5838,0.4811,3.168
105,ratio,1,1,0,0,3,32,1,1,64,0.2,0,0,0.5629,0.7405,0.4851,0.317,0.5638,0.4591,3.273
106,ratioNorm,1,1,0,0,3,32,1,1,64,0.2,0,0,0.5646,0.6893,0.5199,0.3192,0.633,0.4792,3.0697
