,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3
765,stellar-sweep-766,run_9dbcf1759449753ec32e0012c81abe5d,0.5733247995376587,0.9251052967453735,2.4643712574850305,1.3686544535691727,0.6279259731971929,2.2373707131192173,0.3428300694883139
766,ruby-sweep-767,run_cce7f9ae224c3231b1d855350deefce9,0.6174856424331665,0.8067645181876196,2.6362275449101813,1.3994567277321541,0.5978557753669427,2.4543004899292344,0.5279469361970961
767,devout-sweep-768,run_be94de11425c7650fe880c6c28c90db6,0.5859604477882385,0.8350478621569879,2.5330157866086016,1.219090334807328,0.6221569878749204,2.3635002721829075,0.38194567277321717
768,brisk-sweep-769,run_fd3784a07b16e7a1bd4d14e31d3b2e38,0.6132737994194031,0.8414039566049776,2.8200054436581388,1.346569804169299,0.6816592214422464,2.7143984757757216,0.5033607075173718
769,comic-sweep-770,run_18369267e5c710c321a6bf4f2afa67cb,0.5280153155326843,0.9496873005743459,2.094801306477954,1.4183828174352495,0.5641352903637514,1.8808655416439855,0.2884775742261532
770,playful-sweep-771,run_638c83888dbd2996d943c716f44ca399,0.5652839541435242,0.8742310146777283,2.306178551986936,1.2695514845230578,0.6215188257817489,2.085710397387045,0.27030953885028486
771,unique-sweep-772,run_9542520e6125e22d5b88c3adf20426c1,0.5526483654975891,0.9749074664964901,2.633777898747959,1.294693619709413,0.7226037013401411,2.514235166031573,0.36114971572962734
772,iconic-sweep-773,run_e273c7e32e9be0e2b2ec1169cd288416,0.5238034725189209,0.9204594767070837,2.6196788241698434,1.1019456727732155,0.7399872367581363,2.5260479041916173,0.3072520530638032
773,vocal-sweep-774,run_b70580fed9b03b461f67de0a3f336057,0.5673261284828186,0.9079514996809188,2.457566684812195,1.4002905874921037,0.5649266113592857,2.272700054436582,0.31192672141503525
774,playful-sweep-775,run_e71b10a46a60a00bfe024a995f822266,0.6510529518127441,0.7311805998723677,2.6176646706586832,1.3007580543272272,0.5181365666879383,2.423434948285249,0.588945041061277
775,silvery-sweep-776,run_a63cb42b89d1d41f0c12d56392166b37,0.5229099988937378,0.9483854499042758,2.8882689167120317,1.1410360075805437,0.8386726228462027,2.822509526401743,0.5679469361970951
776,clean-sweep-777,run_7c76a9c744c0d79c2259e39f802256c4,0.5374600887298584,0.9569112954690491,2.2248502994011985,1.2511307643714467,0.6196043395022325,1.9356831790963531,0.4138597599494628
777,driven-sweep-778,run_72b0f7e20f4f4d9d2f06a0729e1db1a6,0.6107211112976074,0.8041352903637524,2.240528034839413,1.383209096651927,0.502361199744735,1.98053892215569,0.38780795957043596
778,fresh-sweep-779,run_90ad5f39ad9b651135698606fae93aa2,0.5553286671638489,0.9281940012763242,2.1407457811649433,1.3587744788376501,0.5914486279514999,1.9072128470332066,0.39033480732785814
779,skilled-sweep-780,run_7826f5c88cfb1a1017ffd258228ba2f2,0.4917677044868469,1.108079132099553,2.8778715296679382,1.6677068856601391,0.7783280153158904,2.8211486118671747,0.6476184459886305
780,solar-sweep-781,run_20fecfdf5be9433f76e7e742228e57df,0.5711550712585449,0.8608806636885769,2.289956450734895,1.2549715729627293,0.5698276962348435,2.0763473053892225,0.32526847757422644
