,name,model_unique_name,acc_OTI,distance_P14,distance_OT3,synthetic_EC50_P14,synthetic_EC50_OT3
261,zesty-sweep-262,run_4ddb16ba65d5298827f3a183e5d87a7f,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
262,playful-sweep-263,run_b515e8661271f1bf7816f1ccf324e6a2,0.5227823853492737,2.2065378105594884,1.535345941441563,1.7010070767555796,0.2729374605180037
263,olive-sweep-264,run_5bee068e1d7009e71404c6264eea63a7,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
264,volcanic-sweep-265,run_a0422c2f532acb3a773b236b3a0fee46,0.6224632859230042,2.5969478467658593,1.3094119747260846,2.3721556886227537,0.49423878711307756
265,good-sweep-266,run_72e06f9c00088010429168d0b8d0ce13,0.5483088493347168,2.7007257402663702,1.3167202268073392,2.535737615677735,0.3392166771951998
266,pleasant-sweep-267,run_fd803afd144a42adbccbe09e1e46c0b8,0.723548173904419,2.628289950697269,1.4574553205695169,2.282117583015787,0.6741503474415657
267,lyric-sweep-268,run_497513d3ff09526a579dc19af351d888,0.6089342832565308,3.049932909108436,1.40606471810587,2.8306750136091448,0.5576626658243841
268,happy-sweep-269,run_6bc1cdf2c65fcc0e42500f41ea9af27c,0.5492023229598999,2.6712285642779876,1.4535956357179438,2.352994011976049,0.3924320909665207
269,twilight-sweep-270,run_b15baac3d60635d19357e7746fbccb78,0.5885130763053894,2.3476250816194897,1.5491110367091117,1.8337234621665763,0.3162223626026545
270,sunny-sweep-271,run_b90a589e64b745dd8ded7cea9c24b391,0.5832801461219788,2.4844115190161675,1.34791369505518,2.1852749047359836,0.3502084649399879
271,solar-sweep-272,run_22921a2fa461b601423e666a199bf8fa,0.5812380313873291,2.4226617139489997,1.5465985517272736,1.9820631464344047,0.35824384080859234
272,absurd-sweep-273,run_f762561458b7219fb5276e92cbaea531,0.5919591784477234,2.4801889703441007,1.4530341769174742,2.1102068590092546,0.40130132659507334
273,earnest-sweep-274,run_a5394a46e78c26566518de376462627f,0.5425654053688049,2.455414191336498,1.3222365836787489,2.1582199237887867,0.3283006948831344
274,fresh-sweep-275,run_c3926904f8b58487de7b64a7e45c95d1,0.6016592383384705,2.6886574228513767,1.419990486145068,2.424795862819816,0.386418193303854
275,curious-sweep-276,run_96355d8147475d2234adc31f1943bd22,0.5571154952049255,2.422888832208779,1.4319530360267507,1.9726456178551997,0.3442198357548951
276,earthy-sweep-277,run_b5e866c30de91bf8f568c90267e3a97c,0.5756222009658813,2.4929938709328443,1.5260290244084245,2.1539738704409377,0.28835123183828204
277,sweepy-sweep-278,run_0d7fe19494ccbb80233214966ba5f062,0.5783025026321411,2.4985751429729373,1.1816054774810234,2.3029667936853575,0.3488186986734055
278,rose-sweep-279,run_83cd5a6c6bad2a559cd3433e013f0595,0.6357370615005493,2.6722097264956095,1.4191961744305774,2.3488023952095824,0.38535691724573706
279,ethereal-sweep-280,run_adceca80e7142e02e15620b736d58968,0.5831525325775146,2.841514094627202,1.3136665142565147,2.6030756668481234,0.4135060012634243
280,leafy-sweep-281,run_3422ae9632ddde2aba8e6a0e362e316f,0.60306316614151,2.367530758314245,1.4531221555320717,1.914833968426784,0.3839166140240051
281,graceful-sweep-282,run_5d43fd78f14cb0381f28a40949cb1394,0.587492048740387,2.640946729820701,1.432780343527841,2.301279259662494,0.42232469993682936
282,pleasant-sweep-283,run_4593eae73101e4d5882cb4a048e3a509,0.5860880613327026,2.6703922531712827,1.4215024100362703,2.403184540010888,0.3050031585596966
283,graceful-sweep-284,run_97119be3d0cd47ed65702fffc92cf584,0.5543075799942017,2.7358020115657196,1.2900815221069923,2.559853021230268,0.34035375868603895
284,icy-sweep-285,run_8811a87685adc0dbe76ece3edf5b1a18,0.6173580288887024,2.6530802146372094,1.4338437536706,2.3160860097985863,0.47533796588755656
285,snowy-sweep-286,run_2240c4d7c0209af597fd9642f7531d86,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
286,zesty-sweep-287,run_dcff52a3dcb5e50fef6fbde9553a8286,0.6806637048721313,2.673044888321716,1.5239751473113867,2.2638268916712034,0.6975489576753007
287,comic-sweep-288,run_f11fcb1074829dcd705043d45c93b6bc,0.5666879415512085,2.32080835957591,1.4170263290422234,1.9006260206859023,0.29787744788376463
288,desert-sweep-289,run_c37cda272689282cd833701e0ebf78fc,0.6039565801620483,2.264771387699938,1.4710847048022253,1.797305389221558,0.32514213518635526
289,charmed-sweep-290,run_48e729ace1be3ff194d53e382a21b90d,0.5417996048927307,2.54640063976801,1.4063679397804885,2.204763200870985,0.399305116866709
290,treasured-sweep-291,run_be501db3da008d3a8a5d117dd500bf28,0.605998694896698,2.429354377159439,1.4425926962335451,2.0367719107240077,0.37153506001263376
291,celestial-sweep-292,run_3cd0e14f7a4277e80be4e6febd865311,0.5508615374565125,2.433955335710176,1.2742594042479054,2.1766739248775195,0.27485786481364516
292,splendid-sweep-293,run_9eb4b87724e01f0ed710e00eeece2114,0.618889570236206,2.520987625255746,1.423071230372953,2.154790419161677,0.36140240050537065
293,super-sweep-294,run_cef3d702ad3f25f28808fc17606f6526,0.6153159141540527,2.7119726488831746,1.410473440282186,2.369052803483942,0.5134933670246378
294,fresh-sweep-295,run_7c21a9925d2d0d12ec6b91b2706704f2,0.7005743384361267,2.669939317767389,1.5277582307713125,2.308464888405009,0.6809981048641827
295,lively-sweep-296,run_a21feea6698a7616902c34b791abec17,0.612890899181366,2.7357296635463335,1.4171305022584044,2.4013336962438765,0.5578395451674036
296,trim-sweep-297,run_7c2a61232218b12aaea4fdd737585720,0.7193363308906555,2.714797044834633,1.4856446164215589,2.322999455634187,0.6591156032849022
297,ancient-sweep-298,run_890a7a0ca6a30c6dadbf567b7282d05e,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
298,pretty-sweep-299,run_84af64996507bbb13bc7f5c0c2e93695,0.5560944676399231,2.5221911292168206,1.4962469614057654,2.162574850299403,0.44847757422615364
299,easy-sweep-300,run_98088f23e75122e34a899c71ff866897,0.5994894504547119,2.3594111896871497,1.4333419578242184,1.9482035928143733,0.329968414403033
300,cosmic-sweep-301,run_1a91c9f4d93a81a1c5f6363b612bb52d,0.4630504250526428,2.4719907653154283,1.7948641191337462,2.07367991290147,0.31089071383449135
301,fancy-sweep-302,run_f4dca68026872e5f2ef17ba84144bb8d,0.5728142857551575,2.407763616000848,1.5006797388307649,2.0280076211213944,0.3139734680985472
302,cosmic-sweep-303,run_90bb852733b26a2971da994059d6436d,0.558902382850647,2.4422632089690843,1.4373832368135917,2.0482035928143723,0.3640808591282374
303,northern-sweep-304,run_ea4a7abf2561498bfd6aed9da1be754f,0.6015315651893616,2.819230302277663,1.307510475080885,2.6389493739793153,0.4449652558433359
304,comic-sweep-305,run_69fb2d8312fd49b4e703e223a667057e,0.43088704347610474,4.19648851639022,1.595402951367681,3.9958356015242256,1.8019583070120024
305,eager-sweep-306,run_be6ce3da5ed86af9d6327a915188d090,0.433439701795578,4.2124067634511855,1.6082345023030704,4.007267283614591,1.8580543272267847
306,solar-sweep-307,run_a78c48b5ce5f22e34e92cc98af356724,0.5975750088691711,2.7544176479337534,1.416244023678351,2.475149700598804,0.39329121920404375
307,legendary-sweep-308,run_372eb43e9b683bf45b2de7e1da4d907d,0.5387364625930786,2.394878206162318,1.5405891616150178,1.9891943385955368,0.31397346809854737
308,rosy-sweep-309,run_43ba7aed17ae5f6b53334adcdeb2a973,0.5723037719726562,2.495198979907328,1.3550258850699328,2.234703320631464,0.41537586860391756
309,lucky-sweep-310,run_587c2633af7c746a37326124b7f30796,0.622080385684967,2.660855162431526,1.419144593758284,2.316358192705499,0.422653190145294
310,laced-sweep-311,run_55d131800cb71391b94d411404669142,0.5982131361961365,2.516712559505761,1.4583761591087512,2.1673108328796955,0.34851547694251434
311,bumbling-sweep-312,run_b97e2123d664ce9e02ab0d59fc71771a,0.5269942283630371,2.877907313259577,1.345033806649273,2.715269461077844,0.4403158559696783
312,floral-sweep-313,run_293766fd7bd23375f0b1844477ccb648,0.5255903005599976,2.48614638346712,1.4236834465929944,2.1042732716385424,0.2807454200884401
313,warm-sweep-314,run_548ed80b87b216b50d58c7a3afac0524,0.584045946598053,2.4418195083210024,1.4737510110267302,2.025557974959173,0.3831332912192031
314,different-sweep-315,run_535e8744b94ceb1818743cb0880a8a1c,0.5729418992996216,2.419087671322627,1.4348099156669665,2.0167936853565607,0.3723941882501584
315,autumn-sweep-316,run_e5b95de1d001afc4dc4bd25706c3137c,0.5959157347679138,2.8767449436975627,1.417067139062741,2.634158954817639,0.4055716993051184
316,valiant-sweep-317,run_928ce8485db9440b20e2050c2a3e3f75,0.5965539216995239,2.930105464497379,1.4162740647500094,2.671937942297225,0.4049905243209092
317,hopeful-sweep-318,run_a49b002a766b3b9eba1d59bb95b7656a,0.5914486050605774,2.8270352594424817,1.4196679088892408,2.5573489384866637,0.3571320277953253
318,atomic-sweep-319,run_5e39cd1f1dc90526b4739eb9277f3920,0.6279515027999878,2.693959940063103,1.4110450938069503,2.3488568317909646,0.49944409349336666
319,dandy-sweep-320,run_127334d0acc27ff2e010455caeb3e643,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
320,summer-sweep-321,run_8f1599a2017a79de68cc6d643507a5ca,0.625271201133728,2.69915874180208,1.500332919302006,2.3478225367446934,0.4987618445988624
321,olive-sweep-322,run_1a3c65f6f659fc2d9d9e75eef005212f,0.543203592300415,2.6318644039578185,1.3860468594035134,2.3649700598802403,0.5199115603284913
322,wandering-sweep-323,run_f4bb4d5b442089f27fc8cacc5572ce87,0.5911933779716492,2.7205217725149815,1.3626898503315736,2.4779804028307026,0.3218825015792792
323,rose-sweep-324,run_8242208bdd20ab9947b6c427c37a45cb,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
324,crimson-sweep-325,run_940470cc1196f6f61e80061b74cdd58b,0.6738991737365723,2.6493741103964146,1.4440335988815154,2.310152422427872,0.6468856601389779
325,sweepy-sweep-326,run_54f43c63c6959e077b42b5f720f5182a,0.6051052808761597,2.8810449112126473,1.4187757806529846,2.5934403919433873,0.5168540745420094
326,expert-sweep-327,run_fc39a8ad5e1a1b59b8dbb8c48cce1aa2,0.5863433480262756,2.716641663718947,1.4613979143916365,2.4221284703320634,0.4232596336070742
327,ancient-sweep-328,run_f42745ea80c3fb495fcf3bbffcb5e611,0.498276948928833,2.2349754080207993,1.6038185643214418,1.795019052803485,0.35652558433354387
328,absurd-sweep-329,run_84ba9d7de47571c25b79fb87f9dc9755,0.5742182731628418,2.764017879199473,1.3709601993792542,2.55767555797496,0.3607706885660138
329,rich-sweep-330,run_df8de3707bfdc9c4ab7862a25bc256b7,0.5961710214614868,2.8187284640999426,1.458688906122186,2.502476864452914,0.4119646241313964
330,volcanic-sweep-331,run_086a0536a8a0574e7f42e38594f0e7ba,0.5950223207473755,2.760364236064817,1.4585072746384755,2.453102885138813,0.37802905874920995
331,fallen-sweep-332,run_c1fb85fc4c47ea46ad392269189fc417,0.6575621962547302,2.808492585354528,1.418913087402354,2.51516058791508,0.5798736576121298
332,ancient-sweep-333,run_6ec67fe9afd4e2f98647b7d85326c766,0.6542437672615051,2.811522592209059,1.4323443252156236,2.5079749591725653,0.5676437144662051
333,wise-sweep-334,run_23f3491191a3642de29c2d341f26656f,0.5791959166526794,2.410919219640967,1.4100277856748828,2.018481219379423,0.35276058117498515
334,ruby-sweep-335,run_b7e9bf4423828ec919502cd5673bcc65,0.6373962759971619,2.702123755181274,1.434889564082474,2.3345400108873173,0.5146809854706249
335,quiet-sweep-336,run_401eb7176be34b38b26dbdd77a48e9da,0.6547542810440063,2.8755925465395147,1.4178752477193106,2.565459989112686,0.5774226152874297
336,different-sweep-337,run_14a463939fe595be30d84ba0f410258b,0.5859604477882385,2.365883327123975,1.3835145907733115,1.923326075122483,0.32185723310170594
337,earnest-sweep-338,run_578c5004da3eea57408f902bcc2c2c85,0.558391809463501,2.444149874164182,1.537656047834984,2.0547904191616766,0.3126089703095381
338,sparkling-sweep-339,run_b651517710ce4a13449976858fd50410,0.5392469763755798,2.409465230816223,1.5980301112583228,2.014071856287425,0.3716866708780793
339,comic-sweep-340,run_fe11a923bf8614a376f350c9744f9b71,0.7245692610740662,2.7247323277546864,1.5206067582928449,2.374659771366359,0.6927226784586238
340,twilight-sweep-341,run_39c9b98ece029befd465e902673d8d00,0.6232290863990784,2.6242163772109333,1.3790886857412648,2.3034567229178013,0.4065319014529392
341,gentle-sweep-342,run_63546e879e89b7c23eaead20e0efe091,0.6321633458137512,2.8135493251237715,1.3570244500552098,2.5558791507893304,0.3831332912192038
342,easy-sweep-343,run_d9ab543090ff5b88d6b752b9118d6ad9,0.5692405700683594,2.7760771454595874,1.4815911700154802,2.5085193249863913,0.33833228048010133
343,proud-sweep-344,run_a9e90195541a62025be3551aa05ac45e,0.7111678123474121,2.73925881173597,1.4942342684487118,2.3302939575394666,0.6480985470625401
344,balmy-sweep-345,run_a16cc8181ec41c0b5f42a05b94d252d9,0.6045947670936584,2.816741064643049,1.3884000108118817,2.5465704953728916,0.39132027795325486
345,serene-sweep-346,run_7e1c7920dbf1b79715882ceb4edae5f6,0.6112316250801086,2.7038009299455386,1.4089720711416147,2.371937942297225,0.49004421983575625
346,jolly-sweep-347,run_21806a77973c66555ac72bcc7c405120,0.5800893306732178,2.7741118740261963,1.3992869588010095,2.524305933587372,0.35399873657612224
347,sweepy-sweep-348,run_2dcdabd00a75f1af4a23e2815746f2b6,0.6090618968009949,2.4152890802489964,1.4939222528103693,2.0023679912901478,0.390107391029691
348,warm-sweep-349,run_02b00fc0e83e58dee0dde336dfe4d443,0.6181238293647766,2.892391460835392,1.3771802903249306,2.6742787152966807,0.4354137713202781
349,sweet-sweep-350,run_404edfd6bc56c19e3e2ad1cde0531bf5,0.5871091485023499,2.759685207089192,1.4376016051002032,2.4644801306477966,0.40125078963992483
350,logical-sweep-351,run_b158507da235997978486541687bb903,0.685896635055542,2.624817397056979,1.4347245737177132,2.28581927054981,0.5692103600758054
351,bright-sweep-352,run_81032501b0cc997f34259fa4060751d7,0.5456286072731018,2.5432443147087893,1.4506334165325934,2.1834240609689717,0.33888818698673306
352,summer-sweep-353,run_42cf1062a35a2293e8f7da80efd11d2b,0.5994894504547119,2.79296188617721,1.4425354759683788,2.5080293957539483,0.4244977890082138
353,graceful-sweep-354,run_3a35a237da7b66886f57c43530cf1acb,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
354,breezy-sweep-355,run_c9cb34d17ac833c12038202edda63eca,0.6395660638809204,2.717066995233772,1.4551402569013296,2.396488840500817,0.36390397978521877
355,still-sweep-356,run_b88e7027670d9e9c9fb60e7a68dd96d1,0.6084237098693848,2.415121359282388,1.44264376854272,2.0263745236799138,0.4179785217940617
356,grateful-sweep-357,run_d99b50f12fa8d00da9fad7e7154fa9c5,0.5756222009658813,2.395131960044485,1.479421765820905,1.8857648339684263,0.27902716361339286
357,smooth-sweep-358,run_40a1a4389296548ced219e123ea64ac4,0.498276948928833,2.5750740486393715,1.5561807753997678,2.202912357103976,0.314579911560328
358,magic-sweep-359,run_d1f4f54e7be6d9f150ae46dc28ba5d94,0.5540523529052734,2.7102426665932686,1.353747296699609,2.4688350571584126,0.34265319014529416
359,peach-sweep-360,run_e024515153deddc54da491c8c6cfd033,0.43178045749664307,4.2422667482804455,1.6250316896092647,4.04047359825803,1.9017687934301963
360,deep-sweep-361,run_195e2ae4ecf435b984f58525367c3697,0.5467773079872131,2.80187758599535,1.4007631298620071,2.4906096897114876,0.4009728363866091
361,bright-sweep-362,run_15002097f36ffac09b79a94be1b0e0c1,0.5508615374565125,2.554627015753644,1.275946370920085,2.354627109417529,0.5462160454832606
