,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,pearson_corr_OTI,pearson_corr_P14,pearson_corr_OT3,pearson_corr_conc,pearson_corr_SL
724,fearless-sweep-537,run_87fb4b1a29b02b658df2c041f25a77da,0.5991065502166748,1.3088959795788127,4.982308111050625,2.1336449778900817,0.8964935460920824,1.8273540117107137,1.0361965539246971,4.939684267827981,1.6669740998104854,0.8964935460920822,1.597689507833518,0.550851742483153,0.4908160800640018,0.41892650767806405,0.6397278564448818,0.4918065836952783,0.5439202276164387,0.38682899767366175,0.03918159528766979,,0.3838749388532305
725,still-sweep-538,run_c4a7d100df66b02a3df7a1a2c6aa6bb8,0.6594766974449158,1.0703382259093808,4.884104518236254,2.3285028427037266,0.6387844293119219,2.038787782877037,0.8036119974473512,4.811105062602069,1.9234996841440297,0.6387844293119218,1.6768792530463674,0.6124541879974479,0.42966337173665853,0.5052038438208346,0.5441428759000941,0.4324427083097725,0.6355073478205775,0.2647539371940167,-0.1568293601484107,,0.2840147293563099
726,lilac-sweep-539,run_8f99d3ac1275240c73e876daa1f50b02,0.6100829839706421,1.257319719208679,5.095019052803485,2.6796967782691086,0.65629128976522,1.8187094476974202,1.0342437779195914,5.047495917256398,2.3499557801642443,0.6562912897652204,1.426677480614021,0.5482096633580475,0.48233623356002714,0.47505507135331865,0.686713939440354,0.43039334446371297,0.5799232623350921,0.3019787870786793,-0.018562233167999487,,0.39102742641460875
727,twilight-sweep-540,run_a25476c986052dfd060629a12ab5bfbf,0.6183790564537048,1.2344862795149965,4.851333696243875,2.4519646241313957,0.8497967273096859,1.6823745845861686,1.00382897255903,4.798911268372346,2.1140745420088427,0.8497967273096856,1.3178311441683799,0.5711816996837975,0.4539769735640881,0.4255395396354117,0.6531887974288112,0.48620423847034766,0.5797185589687184,0.32786787375103155,0.01310576160733351,,0.43570475254197577
728,sweet-sweep-541,run_aec8ef230a56c2896dc6604aaf6fb1c4,0.5637524127960205,1.4306317804722397,4.875340228633643,2.2326468730258995,1.015148897245655,1.8801392625415412,0.9835609444798992,4.814099074578118,1.5614782059380916,1.0151488972456557,1.5415176451970243,0.5566735304466466,0.5497623325652587,0.35271174536283245,0.6927330356967458,0.540917068692695,0.5287767820448636,0.3835098525242404,0.05047462658279006,,0.38765790090899427
729,desert-sweep-542,run_58d26a87bbcb46fb415be6d283a779c8,0.5509891510009766,1.4522654754307591,4.355988023952096,2.0520530638029055,1.2973218823051123,1.8345109985757238,0.8703382259093816,4.243794229722374,1.0887176247631083,1.2973218823051127,1.4072994144643138,0.5896321952923831,0.5155995823996271,0.2853704945247901,0.6093011605616587,0.49497981485424764,0.5463968280905828,0.4230881554416486,0.06058127530436283,,0.40674859082722453
730,different-sweep-543,run_62e51f90be85d84429b154905ad8d269,0.5974473357200623,1.2993746011486915,4.807158410451824,2.3754137713202774,0.8520682996239455,1.876052381705966,1.0551627313337593,4.743957539466521,2.0415413771320274,0.852068299623944,1.469279158094636,0.5614838533154273,0.4435289215085028,0.45315199693515945,0.588025750814049,0.41382997887557593,0.5519902156207539,0.266094799024899,-0.05048688205617005,,0.35431265275290913
731,comic-sweep-544,run_2e003eda48fa3c4c68907b6f59672376,0.574984073638916,1.402629227823867,5.147577572128471,2.9837902716361335,0.41688687874784025,1.8768515587909476,1.1172941927249531,5.09172563962983,2.600859128237524,0.41688687874783975,1.4489990504826702,0.5740643157063761,0.5403741338738689,0.5519067458417137,0.756423867549293,0.4836665355526697,0.549563626705646,0.2995902921341198,0.04091876825782467,,0.38739646071855205
732,frosty-sweep-545,run_5fe867b8e1c71c2ef39af7c607455698,0.6121250987052917,1.2405743458838543,5.032416984213393,2.3486418193303846,0.900782599857709,2.0671546130716885,0.9368602425015944,4.959417528579206,1.911193935565382,0.9007825998577093,1.7077385662288347,0.56388178511825,0.46162784226118436,0.46990390447913677,0.5369727158466432,0.4593522354485946,0.5777596479508705,0.2924877155332024,-0.10454652718475618,,0.280746422691331
733,pleasant-sweep-546,run_e9a002a1612b0386e9a73fcc73383883,0.5548181533813477,1.4093299298021695,4.443440391943387,2.1609981048641815,1.1353135481248096,1.7821372052539954,1.033018506700702,4.332226456178551,1.653051168667088,1.1353135481248093,1.2495291976578584,0.5210206313354632,0.4342755839953038,0.37790074386233763,0.5220572961840553,0.3907867382569087,0.5258206204619925,0.3232917331159832,-0.002969081725461953,,0.40943796281056866
734,astral-sweep-547,run_4fca501f1432c965208e9c3e9fc79e8a,0.5871091485023499,1.3177409061901721,4.9991290146978775,2.2548831332912185,0.916963106006708,1.8272115841114096,1.0528525845564782,4.9437670114316825,1.735249526216045,0.9169631060067076,1.5565991454344044,0.5236655433713957,0.4837479618807244,0.3919166427226,0.6806687963242835,0.4824226860549547,0.5428637909867199,0.3452844594134622,-0.005168853780342569,,0.3885527038995008
735,effortless-sweep-548,run_a5a0295eb113e14f33c3cd44cd308790,0.5352903604507446,1.479566049776643,4.17125748502994,2.1509159823120654,1.3051834536030082,1.7018436461465418,1.0391576260370132,4.083560152422428,1.4909286165508533,1.3051834536030094,1.0992245608482358,0.544098694617529,0.424315417830678,0.34421144207132137,0.5653022957911471,0.4131533549864815,0.5204274068617404,0.4179509274517125,0.06923302985615146,,0.45530762732393626
736,balmy-sweep-549,run_b3254e054eba32324c11af5ad39f020e,0.5867262482643127,1.324071474154435,4.726347305389222,2.3056222362602643,1.0169631060067077,1.8009653426175027,1.0382769623484362,4.6562874251497,1.94472520530638,1.016963106006709,1.3674157303370789,0.555589103413878,0.4622717515182242,0.4334091562110909,0.5683996725169183,0.43552943719066745,0.548043659367744,0.304969290962393,-0.020198905446544985,,0.3839614191203113
737,pleasant-sweep-550,run_47c4afa444b8cdefee74ee1b5a8d135b,0.6010210514068604,1.2882578174856414,4.890283070223189,2.3068351231838276,0.918736660229698,1.8332528881152077,0.9202169751116782,4.83296135002722,1.6771825647504721,0.9187366602296989,1.4614456401329319,0.5522253802299351,0.5084010895898171,0.3758340516553331,0.6936153594822538,0.49136127373682514,0.5682375184349577,0.3734311397594116,0.02784576484043441,,0.4036587895459526
738,celestial-sweep-551,run_a8b59b1ea1125cbc7122d5ce36ff7054,0.6190172433853149,1.246049776643267,5.060479041916169,2.0669109286165503,0.9880323203577599,1.818127868333597,1.0103382259093814,5.0217746325530745,1.6612507896399225,0.9880323203577612,1.5866830194651051,0.5620000889676328,0.5092065819378441,0.42949190690546885,0.6496164708880166,0.4886813145826939,0.562117290128209,0.37647069685933343,-0.005738337098477819,,0.38878237271958604
