,name,model_unique_name,acc_OTI,distance_P14,distance_OT3,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_distance,composite_score_syntheticEC50
545,pleasant-sweep-546,run_e9a002a1612b0386e9a73fcc73383883,0.365454355875651,0.4487499185914947,0.4099740439780637,0.34993649065505333,0.24423562855338074,0.8786941337284467,0.7646925945921172
546,astral-sweep-547,run_4fca501f1432c965208e9c3e9fc79e8a,0.5807276566823323,0.693989205502878,0.43352139453269944,0.5934131736526945,0.24951042324699835,0.9194297769504644,0.7682343026997346
547,effortless-sweep-548,run_a5a0295eb113e14f33c3cd44cd308790,0.23526906967163083,0.2580314957411525,0.5152714766120077,0.22915986209399364,0.1248104864181946,0.9575480892389834,0.8080255538754808
548,balmy-sweep-549,run_b3254e054eba32324c11af5ad39f020e,0.5781749884287516,0.5899212653372445,0.2606965814798297,0.49404826710215993,0.2713360707517371,0.7706530654447882,0.7040193846086361
549,pleasant-sweep-550,run_47c4afa444b8cdefee74ee1b5a8d135b,0.6734736760457356,0.6309782045790984,0.7322712726331684,0.535311195790238,0.18087492103600708,1.020281408050126,0.6526049751827223
550,celestial-sweep-551,run_a8b59b1ea1125cbc7122d5ce36ff7054,0.7934482892354329,0.7275034360108998,0.19774955711672942,0.634313191798222,0.24771004421983633,0.78168391691738,0.7116017850711244
551,distinctive-sweep-552,run_cbbe63b3ac731f4ff503940445900e7d,0.46585837999979646,0.7110549158221802,0.1703200639557193,0.6266194882961361,0.5790745420088441,0.9054917380723083,1.0066213680086997
552,breezy-sweep-553,run_eb267304a26acf2aa6859a5f5e5eb983,0.5569028854370116,0.7879046774601628,0.42925692983236297,0.6886771910724011,0.5007738471257106,1.0006949312886297,0.9598884166414882
553,treasured-sweep-554,run_6d35793fcb37f4a30925f114cbd0453b,0.45309503873189283,0.515324066885773,0.5170681389042945,0.4682453275267662,0.18412823752368912,0.9121531619422877,0.7431432777492496
554,easy-sweep-555,run_dfec482126e52e4ec6e735becd5c34c8,0.566262404123942,0.16915844537087077,0.48163951372083064,0.12133913990201488,0.10143714466203387,0.6698652871241132,0.4616719433382212
555,clear-sweep-556,run_c8538a8349240e066ca593fb03c9f3fe,0.7611147562662759,0.7827963160922047,0.49318671679629067,0.6277445109780443,0.4269898926089697,0.9555466340192676,0.7958955327974924
556,sweepy-sweep-557,run_e02e66debde96c6b44402b631d692701,0.721973975499471,0.767685867142732,0.4466657052825828,0.6512611141353656,0.48242261528743074,0.9306719686258119,0.8568378427830852
557,super-sweep-558,run_2891dcf5d598955fb0bdbf71bcf19bc9,0.6232714653015136,0.9047945382178866,0.44146577203513143,0.7484485574305945,0.34085596967782644,1.0749277059986695,0.9045896440049587
558,feasible-sweep-559,run_3875ccf535b8e619f9d8202762c89807,0.9559667110443114,0.5369099907268948,0.31682347362409335,0.47336236617673855,0.2012160454832585,0.6249707050077196,0.51623517626041
559,generous-sweep-560,run_99031d048fa5db37073005be8c50f505,0.8019570509592691,0.4561422095680103,0.35543060004792193,0.3596987842496831,0.3243051168667101,0.6112426984960737,0.5232380279388914
560,noble-sweep-561,run_18bf724cd5fb034843cd83b405f2c2f7,0.2659006913503011,0.5456371617083837,0.580636578896135,0.46026129559063733,0.19436197094125085,1.0834023001403286,0.887985828111522
561,peachy-sweep-562,run_05a306c120635f31f5ff1321fc5dab7f,0.20463744799296057,0.5354357870248498,,0.5406096897114869,0.4404453569172465,,1.057758260745366
562,rosy-sweep-563,run_ec078220b21423d8bb724dae21ad22cc,0.7602636019388833,0.7738937539934949,0.3145007835404915,0.6475594266013441,0.4706411876184476,0.8690775718386968,0.8356493756465582
563,atomic-sweep-564,run_9c36ccdc63838bafeca8deeae7c7254d,0.7134652137756347,0.8251646310364928,0.07410280563474517,0.7412629286880795,0.2744630448515492,0.8766356585453132,0.8407751638536043
564,pleasant-sweep-565,run_7cc032863e150879605e7bf251ea1d55,0.9508613745371499,0.6591842405833681,0.41638395680720763,0.5425331155870081,0.22629500947568082,0.7812260025320947,0.5898866139645166
565,glorious-sweep-566,run_8ab668515efa63352c7f64417d02a2c5,0.45820037523905427,0.601595263024111,0.49136609863619074,0.5244964616222113,0.17155716993051232,0.9470503348677417,0.7733532402465824
566,northern-sweep-567,run_6b9a07408385f59e49806f93e8272dbb,0.7194213072458902,0.3739280853932301,0.5303879790772921,0.2909635274904743,0.1593335439039791,0.7070063820243393,0.43447825649887983
567,lively-sweep-568,run_5f4948fd430b8fa88752c47546d378de,0.2795151869455973,0.2756948091058531,0.5967580697010925,0.23068408637270985,0.09862602653190174,0.9753082524839644,0.7629158581764577
568,valiant-sweep-569,run_6fe93c8378090f9c741fb1f39e14c128,0.555200974146525,0.9560482437814093,0.4167297233732673,0.823244420250408,0.3773057485786484,1.133815717028335,1.0089287273064065
569,vital-sweep-570,run_92e73e6d9c8d8a2bcfa1f2145fb1d4f3,,0.6970793413961136,0.59305564315746,0.5272182906913448,0.49240366392924884,,
