,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,spearman_corr_OTI,spearman_corr_P14,spearman_corr_OT3,spearman_corr_conc,spearman_corr_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD,composite_score_spearman,composite_score_spearman_SD
15,bright-sweep-18,run_5f69e1557fa6c506fe0723be06229c46,0.5204212665557862,0.2658274883848466,0.6262755449127867,0.4422526154378848,0.13932211836372044,0.38881408117659905,0.21587143761387723,0.6194182154616452,0.2653723443721715,0.1393221183637202,0.34577745675569455,0.3903576569380626,0.35519250251141754,0.2191073651949047,0.5606594201401102,0.3549640409999646,0.7695293704601216,0.6708309485211658,0.5003506504828344,,0.6763996743411905,0.9043252709005836,0.811463300216623,0.7076029143387933,0.9924825133228314,0.9095332517472379,0.6411851901010425,0.8588756019692613
16,solar-sweep-19,run_a808b19b0ecf392125e5f27a4b4f98af,0.1860243082046509,0.2962511179505052,0.6456611064246646,0.49856305493037867,0.12343652154526591,0.36153012731129913,0.2473559990056966,0.6398813573158453,0.3271733485024611,0.12343652154526556,0.3276346598614237,0.3171357762942597,0.36797446399672085,0.1832746969745341,0.6695777647490294,0.3924043732354862,0.7549062621763718,0.665285884729354,0.5207247628641078,,0.7152357000297822,1.1523887412348104,0.8678756299020948,0.760049696832245,1.0113248885934243,0.9204593760537896,0.6338842419664922,0.8193772961975322
17,magic-sweep-21,run_71d1292e7fb7c2c24cdab303a5d885ca,1.2613272666931155,0.1621149957844617,0.6124792511360853,0.563960131575693,0.10566901304551671,0.41747247727267284,0.13042542341174151,0.5988625540831043,0.44333588900155857,0.10566901304551647,0.35364223204953726,0.6224882906956594,0.32822560527409333,0.529513350147389,0.39238114452795453,0.2763677256628827,0.8576076209985359,0.6038157411953521,0.33183548794042006,,0.638732242951682,0.8726246635274455,0.8482117276584242,0.7564349676157716,1.222731059118214,1.1609487362613964,0.7897350009326555,1.1829156688847948
18,prime-sweep-22,run_636412f8b249400d28d16d39f76370ba,0.2606892585754395,0.28545216453156275,0.5020762469727067,0.5227116464274231,0.15264877429846338,0.30857583389339466,0.23005307221768045,0.48983101580995425,0.35342912967130813,0.15264877429846316,0.24036873957110083,0.37923219054806534,0.29106362114758094,0.2088395109025316,0.5580498967573222,0.33806154970503516,0.7688040183918496,0.6742291807670551,0.5426706203835189,,0.7522959064880497,1.0353204313017295,0.7789678820855325,0.646352063341971,0.9375179937143902,0.8306142407904277,0.607230079982749,0.8005481854662411
19,blooming-sweep-23,run_83fe0a672f06897c062294b5f11f3533,0.31174212694168096,0.2879379226749832,0.5478788538463633,0.36473177849776167,0.1847634004242498,0.3484338613455662,0.21943862868154881,0.5394541348063895,0.13275294932357276,0.18476340042424957,0.2912621668831171,0.35469279342726096,0.39957785081489244,0.2127403718247507,0.5217872989931652,0.3314783922558496,0.7542159321402613,0.6956469824841647,0.5186451007288173,,0.7184505814909152,0.9523126632387633,0.7184070963266785,0.5973168513205165,0.9202372837631307,0.8291654378027772,0.6202766369427801,0.8458551937017711
20,fanciful-sweep-24,run_50445bcaa8ceaba43882aae082c77d60,0.5580726265907289,0.24344285190775528,0.7403521184249912,0.6460020280463976,0.12309964623994704,0.4151979507736021,0.21143038724011642,0.7335927508231519,0.5663443227066997,0.1230996462399468,0.37221872765235875,0.4130238062273812,0.44459265389944685,0.4085064223307686,0.41545287562938915,0.36161011513673164,0.7919206024948058,0.5839942489544238,0.40317085568908734,,0.6449673723220142,1.0773762958524975,1.0122767910218096,0.9505824659496381,1.2489327808728552,1.1994731402029335,0.7566788275536819,1.0524693048091265
21,fallen-sweep-25,run_1562d91fad12acb6549d3ac9bcb94d84,0.1796427369117737,0.29383455101313866,0.6175406133500233,0.46454133999455877,0.13751151605362466,0.3554655205540501,0.23728227193169021,0.611858826090506,0.2719956471199266,0.13751151605362427,0.31667659230806605,0.2928315961673813,0.3507748314226637,0.1618065532249997,0.640181020820663,0.3658887691658352,0.7559400799384566,0.6758532624297242,0.522965151474083,,0.7154394139829934,1.1270053703520089,0.8267368439048522,0.7103912525433462,0.9583676203888803,0.8600176849519976,0.6262576137389827,0.7919427286781121
22,fiery-sweep-27,run_e370ace0b84869bf2b5214b7ee896f6b,1.260689198970795,0.16445212096672926,0.6307817899806799,0.5501545767071451,0.09292512679953707,0.4020275414624735,0.13041004758817362,0.6202019102560613,0.4381965226423967,0.09292512679953684,0.34685054216324773,0.6491814021355795,0.3252531890179689,0.4677191414189785,0.48196749771021796,0.30373243245236986,0.8587403885482043,0.6131065089779696,0.3717820081572142,,0.648956221877624,0.8766496354320141,0.8529948563347286,0.7705020327378155,1.213914144422202,1.1574371289827745,0.7511981739179806,1.1446772565192735
23,resilient-sweep-28,run_58d3d14066572ed9927250f1ee968602,0.10753035545349124,0.301635218836409,0.4363982693406625,0.2712091608339723,0.23115875269254355,0.3475258046745386,0.19295889786096662,0.41161392146725073,-0.11141889051022669,0.2311587526925432,0.24387340781151948,0.332427831597125,0.262817243256418,0.1530287648054145,0.4564321153769179,0.25801036906795444,0.7574352889496653,0.6690437240668113,0.5347605310578128,,0.7223738078899793,1.0298057704444876,0.5958033766657261,0.4680526955075645,0.7469810125280439,0.6496709130036817,0.6203365692010311,0.766691873257599
24,sandy-sweep-29,run_7078b8d9c8cd3bc8255a17fddb40397a,0.23452460765838629,0.2867078567895793,0.5686903044980818,0.4087947963297306,0.12764377444599997,0.3439533710109086,0.2345838148955852,0.5618329750469401,0.21891029604530943,0.12764377444599964,0.3001131283947488,0.31029940409445717,0.3264245004135045,0.1623939809937319,0.579077114252256,0.32622029261450186,0.7564481903675226,0.683665243281708,0.5403805901069485,,0.7110259954136864,1.0375328545241034,0.7567848063229472,0.6469988993620521,0.8955075224674746,0.8048714527738455,0.6087981309380904,0.7744970264295958
25,giddy-sweep-30,run_1babcb914ce257ed9ba3b845cfe8fbb4,0.6799617409706117,0.2327874061754433,0.6480230754578357,0.5684910840155319,0.14129665026277916,0.4102550610805636,0.1864292981192805,0.6375411575825193,0.4356293126901293,0.14129665026277888,0.3483908103708205,0.4327137422671325,0.324963920552302,0.4179825261522418,0.4628088657496752,0.2793530107608191,0.7991054879395758,0.6078787981017928,0.39442798582551664,,0.6458229517631293,0.9195327651440965,0.8929199266478922,0.7943472218644568,1.1246591127897538,1.04811241451475,0.7488892483574798,1.014094290922491
26,grateful-sweep-31,run_9b78fcb9bd96c3308bc33d2938f7970b,0.08966177701950075,0.31343616342450337,0.35542735856758007,0.3963445700294314,0.21687966584592594,0.33339312635381363,0.1968259174882056,0.32652861302348346,0.03197388271956109,0.21687966584592572,0.1908768606591421,0.4333042342037543,0.2881714642313125,0.16977790547946667,0.49521235905585925,0.30872003580844093,0.7598469466511155,0.6915205026978504,0.5518784532395219,,0.753194671446241,1.0545773113572259,0.6177862526411655,0.38260123639930643,0.8253967187465244,0.6678350061649908,0.594681435694425,0.8082486618143563
27,earthy-sweep-32,run_964915db92a4dd35e5be2ad20a1108f0,0.25749832391738897,0.2893960632766393,0.43007973006068195,0.3301956322805628,0.23730775157454373,0.38013851252504327,0.1845483223695168,0.40225856485890776,-0.04641753023520328,0.23730775157454378,0.2767874724852451,0.38468224110207067,0.26489091525027003,0.08552480073215636,0.4408141837325627,0.20878589060096905,0.7616626350419562,0.6671714882289546,0.5300614948711695,,0.6828036419061476,0.9194054974665512,0.614611919202879,0.44499957685922265,0.7766659039561082,0.6507585869941322,0.6232348805912523,0.7835073908568476
