,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,pearson_corr_OTI,pearson_corr_P14,pearson_corr_OT3,pearson_corr_conc,pearson_corr_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD,composite_score_pearson,composite_score_pearson_SD
476,desert-sweep-289,run_c37cda272689282cd833701e0ebf78fc,0.5197829008102418,0.25074818566543994,0.3760575692298086,0.5024525287057336,0.16454077311379883,0.32940838979093734,0.18172696052238813,0.312671058245658,0.1991639106685,0.1645407731137988,0.22662397949519064,0.4526401249988116,0.20907727205958584,0.18134193191371617,0.48497477556774965,0.23076842270363299,0.7842010702433513,0.6770434411849607,0.522806204284148,,0.7218778776053858,1.377410599533536,1.3151145007061624,1.0248526031279193,1.5506215482559045,1.3134777859126479,1.1477336300598395,1.4114508569263955
477,charmed-sweep-290,run_48e729ace1be3ff194d53e382a21b90d,0.20899802446365362,0.28037959917818733,0.4618442550445924,0.5238006763033703,0.15725598807466884,0.3223091920073026,0.21525169893962098,0.4228611865588545,0.2868195161829734,0.15725598807466878,0.23659809123798253,0.3792475100765591,0.3097918157128902,0.24362800498036585,0.5075028965455912,0.2583793996444908,0.7669235589326501,0.6761734037688059,0.5276690247755693,,0.7289492880605654,1.7415660863071538,1.576699409306712,1.3844546073235668,1.9102026062292479,1.754881058441377,1.1515458400792788,1.5776408942914633
478,treasured-sweep-291,run_be501db3da008d3a8a5d117dd500bf28,0.5299934744834901,0.24310452523762577,0.4283974899316287,0.4868306640407267,0.1596385133990582,0.3327673931125231,0.17891483602630012,0.3787476715265422,0.2227007543383743,0.15963851339905807,0.24001867758635084,0.4404133563493781,0.21079414571035135,0.1920607860038949,0.4735996078174087,0.22992749515437247,0.789371740468026,0.6694690741205935,0.506769705829639,,0.7146303695973489,1.514316454138842,1.459913695887036,1.2313018035400476,1.6752734069600315,1.480303050064378,1.1747967128094232,1.4336458087884723
479,celestial-sweep-292,run_3cd0e14f7a4277e80be4e6febd865311,0.2543076872825623,0.2646482586652819,0.4395845691153362,0.4068485006131321,0.1720389944777586,0.2843771656372947,0.21553516911630038,0.4069807374106333,0.21716398498755163,0.17203899447775847,0.22213933198786118,0.37104886768021617,0.38175351885234976,0.2868963168704573,0.48892847943120127,0.3844780217450648,0.7740256312614874,0.7050945120095593,0.5504750611187017,,0.7557664833133957,1.6290882915729867,1.4723825376949013,1.322856308045093,1.9609320711618228,1.8512949689708587,1.0596365199783386,1.6733719864016854
480,splendid-sweep-293,run_9eb4b87724e01f0ed710e00eeece2114,0.5944478511810304,0.2372670464665317,0.4543827333936915,0.4830441083571772,0.13925280346918728,0.31815116840151514,0.17920332337424835,0.410258811776092,0.22153766117944346,0.1392528034691872,0.23128012403912948,0.4382223070686962,0.23434562603161288,0.17891794102310335,0.5138484885318073,0.2458539464624825,0.7947626072209115,0.6699990842727016,0.5112141183565093,,0.7283674811474098,1.5692166326207129,1.53436108723493,1.3282754581895062,1.768471964848411,1.592967305773281,1.1704871077023091,1.4639908516556241
481,super-sweep-294,run_cef3d702ad3f25f28808fc17606f6526,0.5765795707702638,0.24232435510534805,0.5131279073397647,0.40454461001077624,0.1810295761764407,0.383054221906252,0.18899182451941748,0.4697012269364053,0.17148006391438433,0.1810295761764409,0.315648091199006,0.42996310239286,0.28047657849681507,0.2963311304792005,0.39725351449844065,0.2611287365745832,0.7790034067570389,0.6396123761598417,0.45021995842363616,,0.653586290805437,1.7250923726823228,1.689786947361961,1.5070885003578607,1.9785680293176753,1.8250115799835571,1.2844804329036148,1.6459773697336886
482,fresh-sweep-295,run_7c21a9925d2d0d12ec6b91b2706704f2,1.0028716921806338,0.18338011845541363,0.49664907953753135,0.48612091709709776,0.10196412237015957,0.3906476429681148,0.1294354929747058,0.4559801442352721,0.235673144810672,0.10196412237015956,0.3113817126473605,0.5541624622771467,0.24501537160183204,0.3633494024625142,0.38797917211303695,0.2165240772737933,0.8392691068363143,0.6490005488442859,0.39169348126347137,,0.6440006402692235,1.644057442643071,1.6542505541600452,1.4667904749468317,1.9431904286553057,1.7863142062564266,1.2758829836120065,1.6331936608833169
483,lively-sweep-296,run_a21feea6698a7616902c34b791abec17,0.56445449590683,0.24767265967774707,0.5200534898483761,0.5384415294860838,0.1291696310600671,0.3257874637225303,0.204535021109748,0.48487923157774243,0.35814351008881107,0.12916963106006715,0.2551182121278028,0.42218975374759066,0.2671229848522598,0.2936293884153285,0.5903913821755636,0.2898227109538644,0.7815795595318207,0.6374869027544747,0.509317560639772,,0.7198111950400574,1.784425815170201,1.7480896287267171,1.5878224210639298,2.0084388580029837,1.8706120220686429,1.2659518955537978,1.6064381401506476
484,trim-sweep-297,run_7c2a61232218b12aaea4fdd737585720,1.0966816544532778,0.17648401654663085,0.5039180793606195,0.49283935936977447,0.1101001117999797,0.3642121543067974,0.13291490124952643,0.45955480628141493,0.2997807587975178,0.1101001117999798,0.2703549442985422,0.6028978936384789,0.24596645315354948,0.3914620779193137,0.4285031802732244,0.18011594495374972,0.8456607365068092,0.6326277729548644,0.396677164883516,,0.6773110013344493,1.6707998933196007,1.6773108087964488,1.4897788675111736,1.9837073722395124,1.8278852435136264,1.318120853210979,1.6909068493094566
485,ancient-sweep-298,run_890a7a0ca6a30c6dadbf567b7282d05e,-0.3410977125167847,0.49080728794298484,0.982704255252724,1.0,0.0,0.5491187001148251,0.49080728794298484,0.982704255252724,1.0,0.0,0.5491187001148251,1.0,1.0,1.0,1.0,1.0,,,,,,3.5292519897898846,3.301207101473044,3.301207101473044,4.785182162344089,4.785182162344089,,
486,pretty-sweep-299,run_84af64996507bbb13bc7f5c0c2e93695,0.28047233819961553,0.2635469895718095,0.45568875984723134,0.45477314109471945,0.23213317749093743,0.36996743894900386,0.16660018914735703,0.41472844015693133,0.07862212478168794,0.23213317749093734,0.27412086331608226,0.3927315804009968,0.2597172533407753,0.1156634634826379,0.3684976862421263,0.25426508952766236,0.7847161520761637,0.6837523289783132,0.4813092197348099,,0.6810101645406311,1.6736370946140513,1.5338833345742426,1.3243616772917948,1.7874408331305478,1.6112357059527216,1.1469582184959555,1.468897478666651
487,easy-sweep-300,run_98088f23e75122e34a899c71ff866897,0.4974472522735597,0.246641630982036,0.40551861217778606,0.45360633198320377,0.18543127689128294,0.3306930585015369,0.18147861054458903,0.35290291696585596,0.1850395748950244,0.1854312768912829,0.21311780833023478,0.4509343923914016,0.21157816069219373,0.20177462780278602,0.47212220207627115,0.2366076023430225,0.7864142400171757,0.6662746544595677,0.5199239955244614,,0.7270773848393466,1.4500935890102502,1.3824052397089328,1.1456783223892404,1.6133047617421776,1.4157283729154746,1.178905386153379,1.4427494297301664
488,cosmic-sweep-301,run_1a91c9f4d93a81a1c5f6363b612bb52d,-0.18474787473678592,0.36675020256828994,0.44359110445089667,0.6403701088774106,0.20160416031439513,0.4297700146785873,0.23551605369376688,0.40633552912282894,0.0005053695514843554,0.20160416031439496,0.3154999801219343,0.45496413939721164,0.38651269830351076,0.22528833977162677,0.5885749141434685,0.40146868171036143,0.6988268330115107,0.6984171761334866,0.5359936607643245,,0.6451634530829671,1.9445904665293052,1.585026897849753,1.3063512885978115,2.0649402244569504,1.8596294127847817,1.1025103881042453,1.7225553748866484
489,fancy-sweep-302,run_f4dca68026872e5f2ef17ba84144bb8d,0.3640714287757874,0.26602547217853106,0.4272683754279709,0.46286276987105635,0.17821001456787613,0.35649790578732343,0.1866337540231443,0.3809694774853527,0.09410649920107002,0.1782100145678763,0.27262961862956725,0.3733477978212892,0.24371673997001056,0.11980333939916354,0.49538513182099625,0.24271051783353173,0.7684487713673696,0.6882573424388088,0.5256027936354077,,0.6944854983883854,1.5634032550306878,1.4527884023453284,1.2227287594095753,1.6906549185668809,1.4975932461027506,1.1182591498936871,1.4135853133101823
