,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50,composite_score_distance_withSD,composite_score_syntheticEC50_withSD
22,fiery-sweep-27,run_e370ace0b84869bf2b5214b7ee896f6b,1.260689198970795,0.15946430929612912,0.5150069050176462,0.45821857233101676,0.08702612054070535,0.38783387445234335,0.12009539271814836,0.4655362897038517,0.1651800379027167,0.08702612054070512,0.32417413974146997,0.6491814021355795,0.3252531890179689,0.4677191414189785,0.48196749771021796,0.30373243245236986,0.7369906584923345,0.7075487532207386,0.5083614711058438,1.1165180532705254,0.794622582017582
23,resilient-sweep-28,run_58d3d14066572ed9927250f1ee968602,0.10753035545349124,0.296129137503787,0.3454350161117079,0.4772331017056221,0.22173239150320154,0.33983319855647953,0.1771523564642548,0.2713211600429649,0.031509791535058805,0.2217323915032017,0.22223214609006303,0.332427831597125,0.262817243256418,0.1530287648054145,0.4564321153769179,0.25801036906795444,1.0693824620577226,0.6593703434325822,0.3255625842299472,0.7986039188668823,0.4555112303402099
24,sandy-sweep-29,run_7078b8d9c8cd3bc8255a17fddb40397a,0.23452460765838629,0.2779439295896093,0.4443148688046646,0.41209096651926697,0.1187137920520378,0.33418222635269695,0.21746121757773954,0.4136872794230474,-0.056929879974731215,0.11871379205203783,0.28326312867367537,0.31029940409445717,0.3264245004135045,0.1623939809937319,0.579077114252256,0.32622029261450186,0.9763130868774819,0.66669895404403,0.4708158424912789,0.8207910666168202,0.5798903322164111
25,giddy-sweep-30,run_1babcb914ce257ed9ba3b845cfe8fbb4,0.6799617409706117,0.22580419634742216,0.5377167408316711,0.46093493367024624,0.13079581258257955,0.39548839510941064,0.17260799651987474,0.4869878778579105,0.1355022109917877,0.13079581258257975,0.3246931312082842,0.4327137422671325,0.324963920552302,0.4179825261522418,0.4628088657496752,0.2793530107608191,0.7771903201216487,0.7433625236291738,0.5341456382175364,1.010019785010419,0.7204773591965945
26,grateful-sweep-31,run_9b78fcb9bd96c3308bc33d2938f7970b,0.08966177701950075,0.3053654519890313,0.2881540586159276,0.5394314592545796,0.20903547108445977,0.3307882635511086,0.17234387987353447,0.19921743133343553,-0.07421351863550187,0.20903547108445988,0.20445849878700825,0.4333042342037543,0.2881714642313125,0.16977790547946667,0.49521235905585925,0.30872003580844093,1.0966926374101587,0.6835693966224804,0.2736743397273799,0.875720851278498,0.47403332046152097
27,earthy-sweep-32,run_964915db92a4dd35e5be2ad20a1108f0,0.25749832391738897,0.28403414872874444,0.3431179990793311,0.49518635502210967,0.2274799268218315,0.3714699528079852,0.1793196665915748,0.2607488108025165,-0.02246367656348777,0.22747992682183146,0.2542792656874222,0.38468224110207067,0.26489091525027003,0.08552480073215636,0.4408141837325627,0.20878589060096905,0.9561632844225788,0.666044206593188,0.31725400222249217,0.8179712710591134,0.4619319857912475
28,crimson-sweep-33,run_1ca88cc51509526fcf8bb068d53f15fa,0.31429469585418707,0.2676356122456906,0.40644468313641235,0.3883891345546429,0.13281075312531762,0.3012467864772549,0.21053980781629864,0.3526469234310265,-0.07532533164876862,0.13281075312531773,0.20632686806754127,0.38612301493310336,0.32606991851270334,0.210847832795922,0.5076396929387993,0.30823959246550986,0.8866990269666846,0.6226332959552426,0.41756528695365613,0.8291812855140523,0.56946945517386
29,lucky-sweep-34,run_b2ebfefc789ec1a210442c2409717518,0.20516902208328253,0.28343600220615073,0.27485039128433325,0.4663802905874919,0.18971440187010874,0.31221078295294075,0.1772921829240819,0.1872027006291237,-0.08715097915350642,0.1897144018701085,0.22361049086937085,0.39483463423172704,0.24797656107396762,0.13117730315316747,0.4069251842798507,0.25748495177680736,0.9616702119196945,0.6110558733734825,0.27216293358251104,0.7797329853723904,0.4374583254013961
30,graceful-sweep-35,run_fb2bccb49b3e4209c72a85bdd12b8306,0.4355457425117494,0.25854689235693035,0.47195028387294785,0.39418825015792797,0.15287884947657285,0.33585989644309805,0.1843456510086922,0.43233082706766923,-0.03864813644977943,0.15287884947657324,0.2803591903733118,0.3996306275402766,0.3514770729282371,0.21920229011695333,0.5305290389784195,0.3225447703277599,0.8347035736157703,0.667059174704727,0.47157919963657663,0.8810552524176364,0.6229222657421638
31,resilient-sweep-36,run_9e61d46c13372cff74cdc08867b04922,0.17262279987335208,0.2964087904234411,0.39656283566058,0.4856727732154135,0.22364061388352477,0.3662727963984406,0.1843767235553206,0.3324535829369339,-0.012987997473152876,0.22364061388352474,0.2718453164037511,0.39676614605524874,0.34892477105738456,0.0725094446040715,0.4229562422253757,0.26965368457188016,1.0381200106728132,0.6935404071214583,0.3803798746976008,0.874887299244864,0.5356338246506185
