,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,composite_score_accuracy,composite_score_distance,composite_score_syntheticEC50
69,ethereal-sweep-70,run_5303e0096d5d6ebade7cb0dfb26495e0,,,,,,,,,,
70,elated-sweep-71,run_166ec90b35da4a2c4d286585c74ab95a,,,,0.561844598862919,,0.5991108691707501,,,,
71,vague-sweep-72,run_8403a4ea33180d4737add1cf5f7c3043,0.9318381037030904,0.14796851733673697,,0.7233733417561601,0.26043885916253506,0.7308836871711136,0.8710746121990576,,,1.1665291867555065
72,usual-sweep-73,run_1bec2484add6daac6591dbd2579f72a4,0.21527333486647846,0.6316953839608593,,0.6190145293746053,0.423494182907073,0.22161132280892795,0.06950235137221841,,,0.48300049503030495
73,clean-sweep-74,run_e535acbeba13563954ca9dfcee478bac,0.3708633127666657,0.4912571793235482,0.5393757938668134,0.8414403032217312,0.2717097835157821,0.03645436399927441,,1.1810000008968113,1.1136793286814042,
74,sparkling-sweep-75,run_2a79304d340c52c0040357564455830e,0.4091530527387348,0.5081046585832807,,0.5921036007580545,0.27202395562318865,0.2926329159862096,0.11650171966028196,,,0.4161774941479674
75,legendary-sweep-76,run_8862d73a32e1b87d50b4db46c04927b4,0.494241237640381,0.41221016804935157,,0.3650031585596975,0.4064896175936377,0.5795499909272367,0.46335368849582376,,,0.84605475108758
76,avid-sweep-77,run_661b1b7774b1255791cdfac77a7cf520,0.5337466285342264,0.49164007657945136,,0.5504737839545177,0.4879780079524809,0.5769370350208686,0.4124798203130476,,,0.8608823849919491
77,fearless-sweep-78,run_3f1e5a466b4a26863953da7dee936f96,0.630990471158709,0.31006168900234,,0.3107391029690471,0.37495459231260203,0.6772818000362921,0.6578086614725901,,,1.015880808985518
78,northern-sweep-79,run_0e556845137cd6f6376511fa213cbcd4,0.9859301703316827,0.10976388002552648,,0.4054327226784594,0.2576898532227182,0.6960805661404473,0.9124026110760146,,,1.1761848237886259
79,driven-sweep-80,run_05ffe4019714a13faf19c345288d4ffa,0.40854536919366763,0.45900872154860684,,0.4659507264687297,0.3057974571695053,0.17098530212302698,0.05041061276058091,,,0.3539622695038773
80,stellar-sweep-81,run_df53c7efc9fbc6982bb1cd12669edd70,,,,0.41895135818066986,,0.38615496280166955,,,,
81,treasured-sweep-82,run_a071eaf7884ff4cf13224324331cae9b,0.5610963617052352,0.36532652627100615,,0.28452305748578716,0.40900299445289917,0.46995100707675636,0.3116866708780776,,,0.6966247047922969
82,distinctive-sweep-83,run_6148cc7a5e9d9635da8c7213ea9552c0,0.770778122402373,0.24726653903424822,,0.28603916614024066,0.25926071375975757,0.5759934676102345,0.23604969467256198,,,0.6743174703238015
83,deft-sweep-84,run_2d249feb9fa330b879c3202ec693ea26,0.531923294067383,0.37740906190172324,,0.26790903348073275,0.4630405969270032,0.6691526038831433,0.33633747455604707,,,0.8805082046618566
84,leafy-sweep-85,run_7e4066ed1a0f3bed8ed57e1d679a98d6,0.5799373899187362,0.40774303339714957,,0.3667087807959574,0.4978744293358211,0.8206677553982947,0.29804169298799776,,,1.005088733841991
85,pretty-sweep-86,run_9c73836fe78dc3c6e285e63ea35b387e,0.77989479473659,0.22803658796000864,,0.474162981680354,0.19242059790879204,0.4688622754491026,0.5447743384572187,,,0.7440676042406277
86,polished-sweep-87,run_b2c313b7caa95652d47bb7e762f8e02c,0.24323103541419633,0.5880025526483728,,0.6638660770688571,0.3465612881056427,0.133278896751951,,,,
87,dainty-sweep-88,run_181be64aa437d79ccfb5b10a722b9d56,0.5617043290819442,0.3880450967879177,,0.4537586860391669,0.4823621815325706,0.5161858101977869,0.4396013195760498,,,0.8320879671016824
88,pleasant-sweep-89,run_7410178237b0f242c57ed28507b506f3,0.5629196961720786,0.3637523931078494,,0.26361339229311503,0.3092140788375637,0.18169116312828937,0.2298168035375862,,,0.42595866994170595
89,driven-sweep-90,run_65d60bfabcd55624bc0d8f7752a7e624,0.5446866353352866,0.3954903212082537,,0.2750473783954522,0.5483775956015912,0.812865178733443,0.46088299291079027,,,1.0834578530379213
90,dauntless-sweep-91,run_37fa79a9793b2b0cdfa523df91fae1f8,,,,,,,,,,
91,skilled-sweep-92,run_d6a5a6ee1a24b429f9c793d6ec0fae6b,0.42920973187401196,0.5138055732822804,,0.44542008843967207,0.555171567424279,0.666938849573581,0.23093984698533251,,,0.8979733355019353
92,stellar-sweep-93,run_cadecc4ec58bbec2286b2e96f04b49d5,0.6006017525990806,0.35477557966390166,,0.5266582438408086,0.2772077953954146,0.28330611504264275,0.16209728363866152,,,0.4282312996635975
93,eternal-sweep-94,run_14b2e6801b195443f72daf8f1fa35f28,0.39821304593767454,0.5086151882578174,,0.3139608338597611,0.5117372735751813,0.713064779531846,0.24357408577244644,,,0.9108593482172992
94,fresh-sweep-95,run_0553858b6ac9bbea9dcb5f8e935c0bf8,,,,0.4226152874289336,0.07617691816798278,0.4804028307022324,,,,
95,northern-sweep-96,run_dcad49d11a9ad0232db2a053e543af1d,0.663202240353539,0.28657732397362284,,0.2243840808591286,0.42899219478670625,0.5389040101614961,0.39052432090966543,,,0.7918087398974658
96,stilted-sweep-97,run_b48f47c23b6c995497e565b777c97bcb,,,,,,,,,,
97,toasty-sweep-98,run_c26f28a4e949de6548b8c02ec1ab89e8,0.43711075328645266,0.5124867049563924,,0.31907770056854085,0.5794806342349413,0.7954817637452374,0.31017056222362716,,,1.031888956998128
98,clean-sweep-99,run_641b1c4786a4417e72c3cc953b2cb876,0.6668489092872258,0.3186556051903853,,0.5626658243840811,0.3725983015070445,0.5117583015786614,0.4110760160033672,,,0.7547910601310877
99,dry-sweep-100,run_db83cdf3f9c1e229c5bd6d3cbee762c8,0.44744279271080395,0.5025313763029143,,0.4626026531901457,0.48357959844877646,0.5997278170930865,0.12913595844739106,,,0.7811522120529678
100,autumn-sweep-101,run_0499c71789841ee2bd9c4a382c21ad7f,0.42920973187401196,0.4204637311210382,,0.45495893872394233,0.4327229885621693,0.5259481037924152,0.5205165999859618,,,0.8572094980656468
101,crimson-sweep-102,run_4ac7e6fb78f4061c7aba389ed0dfcc2b,,,,0.4965255843335443,,0.5079477408818734,,,,
