,name,model_unique_name,acc_OTI,distance_OTI,distance_P14,distance_OT3,distance_conc,distance_SL,synthetic_EC50_OTI,synthetic_EC50_P14,synthetic_EC50_OT3,synthetic_EC50_conc,synthetic_EC50_SL,SD_OTI,SD_P14,SD_OT3,SD_conc,SD_SL,spearman_corr_OTI,spearman_corr_P14,spearman_corr_OT3,spearman_corr_conc,spearman_corr_SL
918,vibrant-sweep-731,run_7f2a331798ce44b61f20cc3f35d283b2,0.43178045749664307,2.541174218251436,7.593413173652695,4.577081490840175,0.0,2.844908213324893,2.541174218251436,7.593413173652695,4.576538218572331,1.6010501526376075e-15,2.844908213324893,1.0,1.0,0.9998730964467005,1.0,1.0,,,-0.011290740673653222,,
919,dandy-sweep-732,run_0b909c43b11bc3a57154d0e61f721c1c,0.5531588792800903,1.4759157626037012,4.7788786064235165,1.9551105495893868,1.1702916963106005,1.8335219180250035,1.0713465220165928,4.732825258573761,1.3827795325331644,1.1702916963106,1.5079324260167741,0.5325344613024996,0.5262992655269011,0.42878092775276955,0.6075716331781407,0.5148833511529852,0.5086270014407485,0.3909706852355274,0.03186054061967396,,0.4012022088114605
920,northern-sweep-733,run_a9a404e188594368d46ac7f8a5b3a4cf,0.549074649810791,1.4835354179961708,4.985737615677736,2.2497157296272894,0.9386624656977335,1.8612557366671938,1.218647096362476,4.959771366358192,1.8037650031585597,0.9386624656977329,1.62432742522551,0.5042333987920069,0.5320193433942896,0.3936078919643712,0.6784989783956047,0.5328491410144454,0.49794771146357353,0.38625135601621124,0.03461694045848311,,0.40090807214521357
921,wandering-sweep-734,run_5e0a7ef8fd02128233eaba22418fe92c,0.5472878217697144,1.4210210593490742,4.847033206314643,2.13076437144662,0.7551580445167192,1.9549097958537738,1.0495341416719854,4.754926510615134,1.5532027795325323,0.7551580445167194,1.5699992087355608,0.4872739522325945,0.44731568282308515,0.37597484276729565,0.5689014844140506,0.44616773167091217,0.5159020435128191,0.24698507938237618,0.017102682796571133,,0.32966097066068367
922,fancy-sweep-735,run_d7c275bc6c1e0845b5e5564101274882,0.6021697521209717,1.2848245054243776,4.31619488296135,2.3425394819962095,0.9962801097672528,1.6364654217439467,0.9994894703254623,4.216249319542732,1.9224384080859118,0.9962801097672545,1.2166600727963282,0.5774141260299774,0.4379864608907765,0.38291095999744595,0.6212908126795438,0.482368177141552,0.5747138116805182,0.34459810610859637,0.07720084519268446,,0.4499962604679491
923,breezy-sweep-736,run_0ca8e8c5cbd77cb99495db32245cd09e,0.6432673931121826,1.1586726228462025,4.861295590636908,2.1428427037270996,1.2802063217806687,2.042759930368729,0.8572559029993614,4.766739248775177,1.6879722046746668,1.2802063217806665,1.5943266339610702,0.6266610154790451,0.44003571629759825,0.5204718577403187,0.49310893120982496,0.42367324383443816,0.5954007239936926,0.16890167201991202,-0.12932927555908197,,0.2856021816339611
924,lunar-sweep-737,run_f0fb3b07e45f54286b9941a42d5ed4f1,0.5470325350761414,1.4418761965539244,4.333886771910724,2.1603916614023997,1.167948978554731,1.7474956480455768,1.0363880025526473,4.234431137724552,1.5892103600758047,1.16794897855473,1.1728714986548505,0.524705836436673,0.4121315439354803,0.3522063659291894,0.5451183561100079,0.4040144542297183,0.5277458376108269,0.305432067842128,0.03892227338767975,,0.4237679714529613
925,glad-sweep-738,run_ff5ece6475dcfe1fcf432df476954d3e,0.5152520537376404,1.4927121888959793,4.241453456722918,1.9224510423246997,1.4258207134871428,1.7694334546605472,0.912393107849394,4.142487751769189,0.9439292482627911,1.425820713487142,1.2481484412090524,0.494308165661423,0.4892521529786376,0.3586790856559078,0.6011192151628003,0.44780373915732474,0.5276912319938935,0.37619728711134887,0.06586701350919079,,0.4326580927509311
926,devoted-sweep-739,run_2706b50af0d87f265900c325d5232322,0.568091869354248,1.363165283982131,4.760206859009253,2.4094125078963984,0.8767151133245249,1.6361251780344988,1.0587619655392477,4.691126837234621,2.023512318382817,0.8767151133245255,1.2182426016774814,0.5253584215809383,0.4692509340701803,0.40348561759729273,0.6276368271977085,0.4540933460839297,0.5522119957878594,0.2879626396713378,0.0548126402075393,,0.45769255015673166
927,peach-sweep-740,run_f76ceef588ae4a116a6e451bb3f9f5de,0.5678366422653198,1.4112444160816846,5.129286880783888,2.3049905243209086,0.8184012602906798,1.8128936540591865,1.1337204850031897,5.107240065323897,1.8815792798483895,0.8184012602906804,1.5952642823231498,0.509449157867699,0.5196959777021795,0.40717204610030966,0.6917903316880227,0.5113071925115046,0.5235617607263452,0.3557398338166854,0.06747891128854425,,0.40405574330064153
